C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/24/2017,20:00:00,REGULAR,0005604311,0001242667                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/25/2017,00:00:00,REGULAR,0005604384,0001242692                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/25/2017,04:00:00,REGULAR,0005604392,0001242695                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/25/2017,08:00:00,REGULAR,0005604413,0001242750                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/25/2017,12:00:00,REGULAR,0005604458,0001242894                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/25/2017,16:00:00,REGULAR,0005604488,0001242968                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/25/2017,20:00:00,REGULAR,0005604645,0001243018                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/26/2017,00:00:00,REGULAR,0005604711,0001243044                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/26/2017,04:00:00,REGULAR,0005604719,0001243044                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/26/2017,08:00:00,REGULAR,0005604723,0001243099                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/26/2017,12:00:00,REGULAR,0005604832,0001243212                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/26/2017,16:00:00,REGULAR,0005605188,0001243272                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,05/26/2017,20:00:00,REGULAR,0005605702,0001243327                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/20/2017,00:00:00,REGULAR,0000915123,0003396639                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/20/2017,04:00:00,REGULAR,0000915132,0003396670                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/20/2017,08:00:00,REGULAR,0000915141,0003396740                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/20/2017,12:00:00,REGULAR,0000915194,0003397020                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/20/2017,16:00:00,REGULAR,0000915297,0003397343                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/20/2017,20:00:00,REGULAR,0000915427,0003397641                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/21/2017,00:00:00,REGULAR,0000915512,0003397803                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/21/2017,04:00:00,REGULAR,0000915525,0003397820                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/21/2017,08:00:00,REGULAR,0000915531,0003397867                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/21/2017,12:00:00,REGULAR,0000915560,0003398083                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/21/2017,16:00:00,REGULAR,0000915619,0003398329                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/21/2017,20:00:00,REGULAR,0000915741,0003398604                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/22/2017,00:00:00,REGULAR,0000915795,0003398708                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/22/2017,04:00:00,REGULAR,0000915797,0003398712                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/22/2017,08:00:00,REGULAR,0000915807,0003398938                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/22/2017,12:00:00,REGULAR,0000915858,0003399670                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/22/2017,16:00:00,REGULAR,0000915959,0003400045                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/22/2017,20:00:00,REGULAR,0000916198,0003400674                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/23/2017,00:00:00,REGULAR,0000916275,0003400823                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/23/2017,04:00:00,REGULAR,0000916281,0003400825                                            
