C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/06/2017,20:00:00,REGULAR,0000273452,0000448045                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/07/2017,00:00:00,REGULAR,0000273680,0000448226                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/07/2017,04:00:00,REGULAR,0000273714,0000448261                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/07/2017,08:00:00,REGULAR,0000273729,0000448306                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/07/2017,12:00:00,REGULAR,0000273837,0000448531                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/07/2017,16:00:00,REGULAR,0000274026,0000448896                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/07/2017,20:00:00,REGULAR,0000274288,0000449179                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/08/2017,00:00:00,REGULAR,0000274478,0000449288                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/08/2017,04:00:00,REGULAR,0000274500,0000449296                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/08/2017,08:00:00,REGULAR,0000274554,0000449627                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/08/2017,12:00:00,REGULAR,0000274708,0000450464                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/08/2017,16:00:00,REGULAR,0000274985,0000450806                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/08/2017,20:00:00,REGULAR,0000275600,0000451252                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/09/2017,00:00:00,REGULAR,0000275844,0000451427                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/09/2017,04:00:00,REGULAR,0000275865,0000451438                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/09/2017,08:00:00,REGULAR,0000275910,0000451737                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/09/2017,12:00:00,REGULAR,0000276097,0000452471                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/09/2017,16:00:00,REGULAR,0000276389,0000452795                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,05/09/2017,20:00:00,REGULAR,0000276941,0000453349                                            
