C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/14/2017,00:00:00,REGULAR,0000911834,0003385023                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/14/2017,04:00:00,REGULAR,0000911839,0003385034                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/14/2017,08:00:00,REGULAR,0000911844,0003385076                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/14/2017,12:00:00,REGULAR,0000911891,0003385301                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/14/2017,16:00:00,REGULAR,0000911951,0003385608                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/14/2017,20:00:00,REGULAR,0000912033,0003385869                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/15/2017,00:00:00,REGULAR,0000912102,0003385988                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/15/2017,04:00:00,REGULAR,0000912103,0003385994                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/15/2017,08:00:00,REGULAR,0000912118,0003386245                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/15/2017,12:00:00,REGULAR,0000912178,0003387018                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/15/2017,16:00:00,REGULAR,0000912305,0003387344                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/15/2017,20:00:00,REGULAR,0000912573,0003387901                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/16/2017,00:00:00,REGULAR,0000912674,0003388063                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/16/2017,04:00:00,REGULAR,0000912680,0003388071                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/16/2017,08:00:00,REGULAR,0000912709,0003388383                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/16/2017,12:00:00,REGULAR,0000912765,0003389202                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,05/16/2017,16:00:00,REGULAR,0000912874,0003389482                                            
