,kepid,digits,KeplerName,Disposition
258,8226994,K00906.01,Kepler-250 c,CANDIDATE
259,8226994,K00906.02,Kepler-250 d,CANDIDATE
260,8226994,K00906.03,Kepler-250 b,CANDIDATE
261,8247638,K00907.01,Kepler-251 c,CANDIDATE
262,8247638,K00907.02,Kepler-251 d,CANDIDATE
263,8247638,K00907.03,Kepler-251 b,CANDIDATE
264,11086270,K00124.02,Kepler-110 c,CANDIDATE
265,8247638,K00907.04,Kepler-251 e,CANDIDATE
266,8255887,K00908.01,Kepler-720 b,CANDIDATE
267,8256049,K00909.01,,FALSE POSITIVE
268,8414716,K00910.01,Kepler-721 b,CANDIDATE
269,9140402,K00928.01,,CANDIDATE
270,9141746,K00929.01,Kepler-730 b,CANDIDATE
271,9159275,K00930.01,,FALSE POSITIVE
272,9166862,K00931.01,Kepler-731 b,CANDIDATE
273,9166870,K00932.01,,FALSE POSITIVE
274,11449844,K00125.01,Kepler-468 b,CANDIDATE
275,8605074,K00915.01,,FALSE POSITIVE
276,8628973,K00916.01,Kepler-724 b,CANDIDATE
277,8655354,K00917.01,,FALSE POSITIVE
278,8672910,K00918.01,Kepler-725 b,CANDIDATE
279,8686150,K00919.01,,FALSE POSITIVE
280,8689031,K00920.01,Kepler-726 b,CANDIDATE
281,8689373,K00921.01,Kepler-253 c,CANDIDATE
282,8689373,K00921.02,Kepler-253 d,CANDIDATE
283,8689373,K00921.03,Kepler-253 b,CANDIDATE
284,8826878,K00922.01,Kepler-727 b,CANDIDATE
285,5897826,K00126.01,Kepler-469 b,FALSE POSITIVE
286,8883593,K00923.01,Kepler-728 b,CANDIDATE
287,8951215,K00924.01,,CANDIDATE
288,9016295,K00925.01,,FALSE POSITIVE
289,9077124,K00926.01,Kepler-729 b,CANDIDATE
290,9097120,K00927.01,,FALSE POSITIVE
291,9466668,K00939.01,Kepler-256 c,CANDIDATE
292,9466668,K00939.02,Kepler-256 d,CANDIDATE
293,9466668,K00939.03,Kepler-256 b,CANDIDATE
294,9466668,K00939.04,Kepler-256 e,CANDIDATE
295,9479273,K00940.01,Kepler-734 b,CANDIDATE
296,8359498,K00127.01,Kepler-77 b,CANDIDATE
297,9171801,K00933.01,,FALSE POSITIVE
298,9334289,K00934.01,Kepler-254 b,CANDIDATE
299,9334289,K00934.02,Kepler-254 c,CANDIDATE
300,9334289,K00934.03,Kepler-254 d,CANDIDATE
301,9347899,K00935.01,Kepler-31 b,CANDIDATE
302,9347899,K00935.02,Kepler-31 c,CANDIDATE
303,9347899,K00935.03,Kepler-31 d,CANDIDATE
304,9347899,K00935.04,,CANDIDATE
305,9388479,K00936.01,Kepler-732 b,CANDIDATE
306,9388479,K00936.02,Kepler-732 c,CANDIDATE
307,11359879,K00128.01,Kepler-15 b,CANDIDATE
308,9406990,K00937.01,Kepler-733 b,CANDIDATE
309,9415172,K00938.01,Kepler-255 c,CANDIDATE
310,9415172,K00938.02,Kepler-255 d,CANDIDATE
311,9415172,K00938.03,Kepler-255 b,CANDIDATE
312,9904059,K00145.01,,CANDIDATE
313,3231341,K01102.02,Kepler-24 b,CANDIDATE
314,3231341,K01102.03,Kepler-24 e,CANDIDATE
315,3231341,K01102.04,Kepler-24 d,CANDIDATE
316,2860866,K01103.01,,CANDIDATE
317,7626506,K00150.02,Kepler-112 c,CANDIDATE
318,10460629,K01168.01,,CANDIDATE
319,10319385,K01169.01,,CANDIDATE
320,10482160,K01170.01,,CANDIDATE
321,10485069,K01171.01,,FALSE POSITIVE
322,3233043,K00966.01,,FALSE POSITIVE
323,6579806,K00967.01,,FALSE POSITIVE
324,3560301,K00968.01,,FALSE POSITIVE
325,4044005,K00969.01,,FALSE POSITIVE
326,11502218,K00970.01,,FALSE POSITIVE
327,11180361,K00971.01,,CANDIDATE
328,5802246,K01044.01,,FALSE POSITIVE
329,6066403,K01045.01,,FALSE POSITIVE
330,6209637,K01046.01,,FALSE POSITIVE
331,5988031,K01047.01,,FALSE POSITIVE
332,7684873,K00014.01,,FALSE POSITIVE
333,8559644,K00139.01,Kepler-111 c,CANDIDATE
334,2851100,K01104.01,,FALSE POSITIVE
335,3130300,K01105.01,,FALSE POSITIVE
336,3240158,K01106.01,Kepler-769 b,CANDIDATE
337,3240158,K01106.02,Kepler-769 c,CANDIDATE
338,3228959,K01107.01,,FALSE POSITIVE
339,3218908,K01108.01,Kepler-770 b,CANDIDATE
340,10341913,K01172.01,,FALSE POSITIVE
341,10480921,K01173.01,,FALSE POSITIVE
342,10287723,K01174.01,,CANDIDATE
343,10350571,K01175.01,Kepler-784 b,CANDIDATE
344,3749365,K01176.01,Kepler-785 b,CANDIDATE
345,11013201,K00972.01,,CANDIDATE
346,11673674,K00133.01,,FALSE POSITIVE
347,11013201,K00972.02,,FALSE POSITIVE
348,9414417,K00974.01,,CANDIDATE
349,3632418,K00975.01,Kepler-21 A b,CANDIDATE
350,3441784,K00976.01,,FALSE POSITIVE
351,5820218,K01048.01,,FALSE POSITIVE
352,5876368,K01049.01,,FALSE POSITIVE
353,5809890,K01050.01,Kepler-755 b,CANDIDATE
354,6131236,K01051.01,,CANDIDATE
355,9048161,K00146.01,,FALSE POSITIVE
356,3218908,K01108.02,Kepler-770 c,CANDIDATE
357,3218908,K01108.03,Kepler-770 d,CANDIDATE
358,3235672,K01109.01,,FALSE POSITIVE
359,2837111,K01110.01,Kepler-771 b,CANDIDATE
360,3120276,K01111.01,,FALSE POSITIVE
361,2307199,K00151.01,,CANDIDATE
362,3547091,K01177.01,,FALSE POSITIVE
363,3869825,K01178.01,,FALSE POSITIVE
364,3655332,K01179.01,,FALSE POSITIVE
365,4042026,K01180.01,,FALSE POSITIVE
366,3344419,K01181.01,,FALSE POSITIVE
367,11192141,K00977.01,,CANDIDATE
368,11494130,K00978.01,,FALSE POSITIVE
369,5648449,K00979.01,,FALSE POSITIVE
370,12167361,K00980.01,,FALSE POSITIVE
371,8607720,K00981.01,,FALSE POSITIVE
372,1433962,K00982.01,,FALSE POSITIVE
373,9032900,K00134.01,,FALSE POSITIVE
374,5956342,K01052.01,Kepler-265 c,CANDIDATE
375,5956342,K01052.02,Kepler-265 b,CANDIDATE
376,5956342,K01052.03,Kepler-265 e,CANDIDATE
377,5956342,K01052.04,Kepler-265 d,CANDIDATE
378,5956656,K01053.01,Kepler-756 b,CANDIDATE
379,3109930,K01112.01,,CANDIDATE
380,2854914,K01113.01,Kepler-268 b,CANDIDATE
381,2854914,K01113.02,Kepler-268 c,CANDIDATE
382,3337425,K01114.01,,FALSE POSITIVE
383,3116412,K01115.01,Kepler-772 b,CANDIDATE
384,3865567,K01182.01,,FALSE POSITIVE
385,3544689,K01183.01,,FALSE POSITIVE
386,4037164,K01184.01,,FALSE POSITIVE
387,3443790,K01185.01,,FALSE POSITIVE
388,3966912,K01186.01,,FALSE POSITIVE
389,8394721,K00152.01,Kepler-79 d,CANDIDATE
390,11607193,K00983.01,,FALSE POSITIVE
391,1161345,K00984.01,,CANDIDATE
392,10227501,K00985.01,,FALSE POSITIVE
393,2854698,K00986.01,Kepler-260 b,CANDIDATE
394,2854698,K00986.02,Kepler-260 c,CANDIDATE
395,8559644,K00139.02,Kepler-111 b,CANDIDATE
396,6032981,K01054.01,,FALSE POSITIVE
397,5866099,K01055.01,,FALSE POSITIVE
398,5964985,K01056.01,,FALSE POSITIVE
399,6066416,K01057.01,,FALSE POSITIVE
400,1996679,K00147.01,,FALSE POSITIVE
401,2849805,K01116.01,Kepler-773 b,CANDIDATE
402,3114811,K01117.01,Kepler-774 b,CANDIDATE
403,2853446,K01118.01,,CANDIDATE
404,3003992,K01119.01,,FALSE POSITIVE
405,3942446,K01193.01,,CANDIDATE
406,3554031,K01194.01,Kepler-415 c,CANDIDATE
407,3554031,K01194.02,,FALSE POSITIVE
408,3554031,K01194.03,Kepler-415 b,CANDIDATE
409,8394721,K00152.02,Kepler-79 c,CANDIDATE
410,7295235,K00987.01,Kepler-743 b,CANDIDATE
411,2302548,K00988.01,Kepler-261 b,CANDIDATE
412,2302548,K00988.02,Kepler-261 c,CANDIDATE
413,10743597,K00989.01,,FALSE POSITIVE
